LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Spokane,American Indian and Alaska Native,2007-2011,Currency,"*$30,811"
County,Spokane,American Indian and Alaska Native,2008-2012,Currency,"*$32,917"
County,Spokane,American Indian and Alaska Native,2009-2013,Currency,"*$34,313"
County,Spokane,American Indian and Alaska Native,2010-2014,Currency,32070
County,Spokane,American Indian and Alaska Native,2011-2015,Currency,29063
County,Spokane,American Indian and Alaska Native,2012-2016,Currency,37660
County,Spokane,American Indian and Alaska Native,2013-2017,Currency,38604
County,Spokane,American Indian and Alaska Native,2014-2018,Currency,40220
County,Spokane,American Indian and Alaska Native,2015-2019,Currency,47850
County,Stevens,American Indian and Alaska Native,2005-2009,Currency,"*$39,306"
County,Stevens,American Indian and Alaska Native,2006-2010,Currency,"*$39,958"
County,Stevens,American Indian and Alaska Native,2007-2011,Currency,"*$47,115"
County,Stevens,American Indian and Alaska Native,2008-2012,Currency,"*$55,260"
County,Stevens,American Indian and Alaska Native,2009-2013,Currency,"*$45,341"
County,Stevens,American Indian and Alaska Native,2010-2014,Currency,42813
County,Stevens,American Indian and Alaska Native,2011-2015,Currency,31591
County,Stevens,American Indian and Alaska Native,2012-2016,Currency,33516
County,Stevens,American Indian and Alaska Native,2013-2017,Currency,34643
County,Stevens,American Indian and Alaska Native,2014-2018,Currency,41750
County,Stevens,American Indian and Alaska Native,2015-2019,Currency,40250
County,Thurston,American Indian and Alaska Native,2005-2009,Currency,"*$49,674"
County,Thurston,American Indian and Alaska Native,2006-2010,Currency,"*$61,172"
County,Thurston,American Indian and Alaska Native,2007-2011,Currency,"*$61,438"
County,Thurston,American Indian and Alaska Native,2008-2012,Currency,63718
County,Thurston,American Indian and Alaska Native,2009-2013,Currency,"*$63,844"
County,Thurston,American Indian and Alaska Native,2010-2014,Currency,55395
County,Thurston,American Indian and Alaska Native,2011-2015,Currency,46352
County,Thurston,American Indian and Alaska Native,2012-2016,Currency,46285
County,Thurston,American Indian and Alaska Native,2013-2017,Currency,49861
County,Thurston,American Indian and Alaska Native,2014-2018,Currency,65547
County,Thurston,American Indian and Alaska Native,2015-2019,Currency,70089
County,Wahkiakum,American Indian and Alaska Native,2005-2009,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2006-2010,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2007-2011,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2008-2012,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2009-2013,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2010-2014,Currency,S
County,Wahkiakum,American Indian and Alaska Native,2011-2015,Currency,S
County,Wahkiakum,American Indian and Alaska Native,2012-2016,Currency,S
County,Wahkiakum,American Indian and Alaska Native,2013-2017,Currency,S
County,Wahkiakum,American Indian and Alaska Native,2014-2018,Currency,NA
County,Wahkiakum,American Indian and Alaska Native,2015-2019,Currency,NA
